Nome: PALMEIRA DOS INDIOS
Codigo Estacao: 82992
Latitude: -9.42027777
Longitude: -36.62027777
Altitude: 277.98
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2024-06-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-08-31;14;73,7;127,2;100,7;198,2;7,2;22;100,7;986,8;26,9;22,1;18,8;83,7;5,3;2,5;62,4;null;
2012-09-30;9;107,5;128,8;13,7;235;6,2;7;13,7;987;28,8;23;18,7;81,7;6,3;2,8;59,3;null;
2012-10-31;5;140,2;137,9;33;258,3;6,5;6;33;983,3;30,3;24,2;20,1;73,2;7,3;4;63,5;null;
2012-11-30;5;219,8;144;,6;290;5,1;1;,6;980,3;34,4;26,7;21,1;59,4;7,1;4,5;63,3;null;
2012-12-31;5;219,1;150,1;4,6;293,5;5,9;1;4,6;980,6;33,9;26,7;21,8;63,7;6,6;4,3;63,3;null;
2013-01-31;5;215,4;151,4;9,2;261,2;6;5;9,2;981,1;34,4;27,2;22,2;62,3;7,1;4,3;62,9;null;
2013-02-28;9;196,8;133,9;4,6;238,5;6,1;4;4,6;981,1;33,9;26,9;22,1;61,8;7;4,3;63,3;null;
2013-03-31;9;223,1;146,9;2,2;271,5;5,8;3;2,2;981,2;34,1;27,4;22,8;61,9;6,3;4;63,3;null;
2013-04-30;9;168,5;136,3;136,3;225,3;6,4;11;140,2;981,6;33;26,6;22,2;71,5;6,6;3,1;61,6;null;
2013-05-31;9;77,4;132,9;127,6;204,8;7;14;127,4;983,2;29,3;24,6;21,1;82,8;5;2,2;62,8;null;
2013-06-30;9;65,5;124,6;78,8;181,2;6,8;18;77,4;985,1;27,9;23,5;20;90,1;4;1,7;58,3;null;
2013-07-31;9;58,5;126,5;126,5;159,7;7,4;26;151,1;985,5;26,8;22,5;19,1;85,6;5;1,9;62;null;
2013-08-31;9;62,1;128,2;107,6;172,9;7,7;21;101,3;985,2;26,8;22,4;19,1;84,8;5,3;2,3;61,4;null;
2013-09-30;9;108,4;128;33,7;226,6;6,2;12;20,2;985,9;29;23,2;19,3;84,3;6,1;2,9;59,7;null;
2013-10-31;9;100,1;139;81,4;257,3;5,9;8;78,2;983,5;30,7;24,5;20,1;74;6,6;3,7;63,3;null;
2013-11-30;9;152;139,7;8,4;254,5;6,1;4;5,6;981,2;32;25,4;20,8;69,8;7,5;4,2;63,3;null;
2013-12-31;9;186,6;150,5;66,2;279,3;5,5;4;65,6;980,4;33,7;26,8;21,7;67,1;7;4,2;63,3;null;
2014-01-31;9;179,1;147,5;13,9;275,7;6,1;null;13,6;981,8;33,2;26,3;20,9;62,7;7,1;4,1;63,3;null;
2014-02-28;9;135,4;130,4;43,4;206,8;5,7;null;43,3;981,8;32,7;26;21,1;74,1;5,8;3,4;58,9;null;
2014-03-31;9;115,8;141,5;35,5;226,3;6,5;null;35,5;981,2;32,8;26,5;21,7;69,5;6,1;3,8;63,1;null;
2014-04-30;9;86,8;136;80,6;191,1;5,9;null;80,6;982,7;32,3;26,4;22,1;82,9;5;2,7;59,5;null;
2014-05-31;9;55,3;131,4;131,4;153,8;7,6;null;156,6;982,7;28,6;24,3;21;85,3;4,3;2,1;63,1;null;
2014-06-30;9;57,4;123,8;99,1;186,9;6,6;null;92,3;984,6;27,8;23,3;19,9;84,3;5;2,3;62,6;null;
2014-07-31;9;56;126,9;107,8;180,7;6,5;null;104,1;987,3;27,2;22,5;19,1;87,4;5,6;2;61,1;null;
2014-08-31;9;64,5;127,8;102,1;198,5;6,9;null;98,4;987;27,2;22,3;18,6;85,8;5,5;2,2;59,5;null;
2014-09-30;9;78,3;129;77,6;217,6;6,8;null;72,9;985,1;28,9;23,3;19,3;81;6,3;3,2;63,3;null;
2014-10-31;9;70,8;136,3;136,3;234,9;6,9;null;157;984,3;29,1;23,8;19,9;81;6,8;3,4;62,3;null;
2014-11-30;9;109,1;139,7;34,9;260,6;5,7;null;15,8;981,7;31,8;25,5;21;75,8;6,6;3,8;63,3;null;
2014-12-31;9;104,3;144,1;24,8;243,9;6;null;19,2;981,9;32,7;25,8;20,8;71,9;7,3;4;63,2;null;
2015-01-31;9;155,6;148,7;6,7;289,8;5,7;null;5;982,7;33,7;26,5;21,4;69,5;7,6;4,1;63,3;null;
2015-02-28;9;123,7;132,5;31,1;206,4;6,4;null;30,8;981,8;33,3;26,6;21,4;71,5;6,6;3,8;63,3;null;
2015-03-31;9;161,6;145;15;255,5;5,2;null;14,9;982,4;33,8;27;22,1;77;6;3,4;60,3;null;
2015-04-30;9;143,8;138,8;52,4;273,4;4,8;null;52,4;981,3;34,3;27,3;22,2;68,8;5,1;3,1;63,3;null;
2015-05-31;9;104,6;136,4;69,1;216,6;6,5;null;69,1;983,2;31,5;25,7;21,5;76,2;5,3;2,8;63,3;null;
2015-06-30;14;53,4;124,2;124,2;146,9;7,5;null;154,3;985,4;28;23,4;20,4;85,8;5,5;2,2;62,4;null;
2015-07-31;9;48,9;127,2;127,2;153,2;8;null;141,5;985,8;27;22,7;19,7;88,5;5;2,3;62,5;null;
2015-08-31;9;76,2;128,6;75,4;223,7;6,8;null;53,2;985,8;27,7;22,5;18,7;84,4;5,3;2,6;63,2;null;
2015-09-30;9;115,4;131,9;30,3;262,4;5,8;null;16,8;984,5;30,4;24;19,7;78,3;6,6;3,6;63,3;null;
2015-10-31;9;152,5;144;14,3;285,4;4,4;null;9,7;984,8;32;25,1;20,3;75,6;6,6;3,7;60;null;
2015-11-30;9;201,9;145,4;2,2;334,5;3,8;null;1;981,1;35;27;21;57,6;7,6;4,4;63,2;null;
2015-12-31;9;180,1;150,1;20,9;264,5;5,6;null;20,6;982,6;33,9;26,7;21,6;66,5;7,5;3,9;63,1;null;
2016-01-31;9;124,7;150,6;75;180,6;7,2;null;74,9;981,3;33,3;27;22,4;72;7,5;3,3;62,7;null;
2016-02-29;9;142,4;138;6,4;249,2;6,7;null;6,4;982,3;33,5;26,8;22;69,5;5;2,5;63,3;null;
2016-03-31;9;153;146;26,5;244,2;5,7;null;26,5;983,1;33,6;27,2;22,7;78;4,8;2,2;60;null;
2016-04-30;18;110;134,7;61;187,9;6,8;null;61;982,4;31,5;26,1;22,1;80;4;1,9;63,1;null;
2016-05-31;18;93,1;133,4;80,3;186,6;7,1;null;80,3;984,1;29,9;24,9;21,1;83,3;3,8;1,5;62,9;null;
2016-06-30;18;81,4;126,2;57,4;204,6;6,5;null;57,4;985,4;29,3;24;20,3;80,4;4,5;1,5;62,9;null;
2016-07-31;9;75,1;126,9;61,6;192,4;6,7;null;61,6;986;27,8;22,6;18,7;79,7;5;1,6;61,8;null;
2016-08-31;14;115,3;131,6;16,5;220,4;6,2;null;16,5;985,7;29,3;23,3;18,8;72;4,5;2;62,8;null;
2016-09-30;9;140,3;133,4;12,8;261,3;6;null;12,5;985,9;31,2;24,5;19,8;76,8;4,6;1,9;60,3;null;
2016-10-31;9;192,2;144,5;15,4;301,5;5,2;null;15,4;982,3;32,9;26;21,1;65,1;10;2,9;63,3;null;
2016-11-30;9;186,5;143,6;12,1;286,9;5,7;null;12,1;981;33,6;26,5;21,5;63,3;5;2,9;63,6;null;
2016-12-31;9;216,8;152,1;29,6;291,3;4,6;null;3,4;981,5;34,4;27,2;21,9;65,8;4,8;2,8;61,2;null;
2017-01-31;14;202,3;150,2;1,6;281,2;5,6;null;1,6;982,2;33,9;27;22,1;67,6;4,5;2,7;60,6;null;
2017-02-28;14;183,3;134,6;2,2;221,6;5,2;null;2,2;981,7;34,2;27,2;21,9;67,1;4;2,4;60;null;
2017-03-31;14;null;null;null;200,5;5,3;null;1;981,6;34,6;27,7;22,9;68,4;3,8;1,9;60,4;null;
2017-04-30;9;129,2;135,9;118,8;208,9;6,7;null;118,8;982,6;32,1;26,4;22,2;78,7;3,5;1,5;60;null;
2017-05-31;14;null;null;null;116,2;7,3;null;321,2;983,7;29,1;24,6;20,4;87,1;3;,9;60,2;null;
2017-06-30;9;47,6;122;122;121,3;8,3;null;187;985,3;26,9;22,8;18,8;90,3;1,6;,7;60;null;
2017-07-31;18;47,7;121,3;121,3;92,6;8,7;null;270,8;988,2;24,9;21,1;17,3;91;3;,9;60,3;null;
2017-08-31;9;54,5;126,6;126,6;157,4;7,6;null;129,4;986,5;26,8;22,1;18,3;89,5;2,8;1,1;60;null;
2017-09-30;14;67,3;125,6;124,8;199,9;7,3;null;112,6;987;27,4;22,4;18,8;87,5;3;1,3;60;null;
2017-10-31;9;92,9;136,3;92;242,4;6,2;null;36,2;984,4;29,4;23,9;19,9;82,2;3,8;2;60;null;
2017-11-30;9;158,1;142;24,9;296,9;4,7;null;,4;981,9;32,9;26,1;21;71,2;4,5;2,8;60;null;
2017-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-01-31;9;135,6;148,3;27,7;243,4;5,6;7;26,3;982,1;32,7;26,5;21,6;74,3;4,5;2,2;59,4;null;
2018-02-28;9;122,1;132,2;87,4;215,1;5,7;5;86,8;981,1;32,8;26,5;21,9;79,8;4,2;2,1;60;null;
2018-03-31;9;149;145,3;12,5;244,3;5,2;5;12,2;981,5;33,4;27;22,4;76,5;3,8;1,8;60;null;
2018-04-30;9;87,3;131,2;98,8;157,9;7,2;10;98,8;983,3;30,2;25,1;21,6;85,1;3,5;1,1;60;null;
2018-05-31;18;70,5;131;93,9;190,3;7,1;23;97,9;983,7;28,9;24,3;21;82,2;3,8;1,3;63,3;null;
2018-06-30;18;56;122,7;65,5;179,7;6,9;20;67,3;985,8;27,8;23,1;19,8;82,7;3,8;1,3;63,6;null;
2018-07-31;18;74,1;126,5;68,7;171,7;7,4;16;68,7;986,8;27;22,5;19,4;82,3;3,2;1,2;60;null;
2018-08-31;14;116,8;132,9;9;247,3;5,9;9;9;985,7;29,3;23,7;19,7;73,6;3,9;1,9;63;null;
2018-09-30;14;119,9;133,3;43,5;223,2;6,5;6;43,5;983,9;30,2;24,5;20,8;75,3;4,8;2,2;63,6;null;
2018-10-31;14;182,4;146,2;0;294,3;5,8;0;0;982;33,6;26,6;22,1;69,4;5,9;1,9;63,3;null;
2018-11-30;14;165,9;144,2;6;241;6,5;4;6;981,3;33,1;26,6;22,7;68,6;4;2,1;63,3;null;
2018-12-31;14;99,3;151,3;56,8;260,9;6,4;6;56,8;981,7;33,1;26,8;22,6;68,4;4;2;63,5;null;
2019-01-31;14;111,4;148,3;32,3;212,9;6,5;9;32,3;983,5;31,9;26,4;22,5;75,5;3,8;1,9;60;null;
2019-02-28;14;144,9;137,7;11,4;233,2;6,8;3;11,4;980,8;34,4;28;23,7;69,8;4,2;1,9;63,3;null;
2019-03-31;14;148,5;149,1;90,2;245,6;7,2;10;90,2;981,1;33,7;27,8;23,6;75,1;3,8;1,7;63,3;null;
2019-04-30;14;97,5;138;80;216,7;7,1;9;80;981,2;32;27;23;76,8;3,8;1,6;63,3;null;
2019-05-31;14;105,4;138,5;35,4;213,1;6,8;11;35,4;982;31,6;26,3;22,2;75,8;4,2;1,6;63,3;null;
2019-06-30;14;76,3;127,2;127,2;139,1;7,9;20;182,6;985,1;28,3;24,3;21,8;81,9;3,8;1,3;63,6;null;
2019-07-31;9;53,9;130,1;130,1;144,4;7,7;22;152,6;985,8;26,9;23,5;21,9;84,9;2;,9;60,3;null;
2019-08-31;14;73,2;133,3;122,6;194,5;7,9;16;101,4;987;27,6;null;null;79,6;3,8;1,4;63,3;null;
2019-09-30;9;94,1;136,5;61,1;229;6,5;10;22,6;984,9;29,4;null;null;73,2;4;1,9;63,3;null;
2019-10-31;14;149,4;149,2;17,1;292,5;6,1;3;3,2;982,5;32,1;null;null;68,3;3,8;2,3;63,1;null;
2019-11-30;14;186,8;152,4;3,7;309,1;5,5;1;,4;980,5;34,5;null;null;66,4;4;2,4;63,3;null;
2019-12-31;9;194;null;null;293,9;5,1;2;9,4;981,6;34,4;null;null;72,5;4;2,5;60;null;
2020-01-31;14;182;null;null;244,1;6,6;4;50,4;981,9;34,7;null;null;74,9;3,8;2;60;null;
2020-02-29;9;132,6;null;null;211,9;7,3;8;77;981,9;34,1;null;null;78,9;4;1,7;60;null;
2020-03-31;14;116,4;null;null;199,2;7,3;14;192;981,6;33,1;null;null;79,4;3,8;1,5;60;null;
2020-04-30;14;null;null;null;196,7;7,5;15;63,6;982,6;null;null;null;null;3;1,3;59,8;null;
2020-05-31;14;null;null;null;149,8;8;22;177,6;983,8;null;null;null;null;8;1;60;null;
2020-06-30;18;null;null;null;182,1;8,3;25;203,4;984,6;null;null;null;null;3;,8;60;null;
2020-07-31;14;null;null;null;184;7,2;20;82,6;985;null;null;null;null;2,2;,9;60;null;
2020-08-31;14;null;null;null;202,3;7,8;18;79,4;985,6;null;null;null;null;2,8;1,1;60;null;
2020-09-30;14;null;null;null;205,4;6,7;10;46,6;984,9;null;null;null;null;3,2;1,5;60;null;
2020-10-31;9;null;null;null;289,7;5,5;2;12,6;984;null;null;null;null;3,6;2,1;60;null;
2020-11-30;9;null;null;null;236,7;6,4;7;52;982,1;null;null;null;null;3,6;2;60;null;
2020-12-31;14;null;null;null;247,2;5,9;2;1,8;982,6;null;null;null;null;4;2,3;60;null;
2021-01-31;14;null;null;null;190,8;7,2;10;30,6;981,8;null;null;null;null;3,8;2,1;60;null;
2021-02-28;14;null;null;null;231,5;6,2;2;4,8;981,4;null;null;null;null;3,8;2,2;60;null;
2021-03-31;14;null;null;null;175,6;7,3;9;61,8;981,7;null;null;null;null;3,4;1,8;60;null;
2021-04-30;9;null;null;null;null;7,2;13;168,8;982;null;null;null;null;2,8;1,3;60;null;
2021-05-31;9;null;null;null;150,1;8,6;21;143,2;983,5;null;null;null;null;2,8;,8;60;null;
2021-06-30;9;49,6;null;null;126,1;8,5;19;121;984;27,1;23,1;18,8;85,6;2,8;,9;63,3;null;
2021-07-31;14;null;null;null;158,8;8,4;22;137,2;985,5;27;22,6;18,2;86,3;1,5;,6;96,7;null;
2021-08-31;14;null;null;null;143,8;8,6;22;140;985,7;26,7;22,4;18,3;86;1,5;,7;97;null;
2021-09-30;14;null;null;null;215,9;7,3;11;71,8;984,2;29,1;24;19,1;81,3;1,5;,8;97;null;
2021-10-31;14;null;null;null;262;6,5;2;4,8;983,1;30,6;25,2;20,2;82;1;,8;97;null;
2021-11-30;14;null;null;null;273,4;6,4;3;26,9;980,1;34,3;27,6;21;68,4;6,2;1,1;97,3;null;
2021-12-31;9;null;null;null;216,1;6,8;8;105,5;979,6;33,5;26,9;21,5;72,1;1,5;1,1;97,3;null;
2022-01-31;5;null;null;null;244;6,9;6;30,6;980,9;32,7;26,5;20,9;75;1,5;,9;97,3;null;
2022-02-28;9;null;null;null;257,2;6,1;null;0;979,9;34,9;27,8;21;67,2;1,5;1;96,7;null;
2022-03-31;9;null;null;null;192,3;7,2;12;114;981,1;32,3;26,3;21,1;81,2;1,5;,8;97;null;
2022-04-30;9;null;null;null;224,4;7,1;14;84,9;980,8;31,1;25,8;20,7;81,1;1,5;,7;97,4;null;
2022-05-31;18;null;null;null;117,5;8,8;22;332,4;983,2;28,3;24,2;20,3;88,3;1,5;,6;97,3;null;
2022-06-30;18;null;null;null;95,9;9,4;27;430,2;984;26,7;23;19,6;92,6;1;,6;97;null;
2022-07-31;14;null;null;null;131,5;9,2;24;165;985,4;26,8;22,4;18,2;92,5;1;,6;97;null;
2022-08-31;14;null;null;null;116,5;8,6;27;188,2;985,9;26,8;22,1;17,6;90,9;1;,6;97;null;
2022-09-30;14;null;null;null;214,2;7,5;10;61,1;985;28,9;23,3;17,8;86,1;1;,7;97;null;
2022-10-31;14;null;null;null;237,9;6,5;7;18;983,6;31;25;19,2;79,6;1,5;,9;97;null;
2022-11-30;9;null;null;null;215,4;6,8;8;267;981,7;31,5;25,6;20,5;81,5;1,5;1;97;null;
2022-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-01-31;9;null;null;null;272,6;5,9;5;20;981,9;33;26,6;20,3;75,5;1,5;1;97;null;
2023-02-28;5;null;null;null;203,2;6,9;6;38,2;982;32,9;26,6;20,7;76,9;1,5;1;96,8;null;
2023-03-31;9;null;null;null;212,3;7,5;11;86;982;32,6;26,7;20,9;77,1;1,5;,8;97;null;
2023-04-30;9;null;null;null;214;7,1;8;47;981,4;32,3;26,7;21,1;80,4;1,5;,7;97;null;
2023-05-31;9;null;null;null;154,3;7,9;16;122;983,4;30,6;25,6;20,8;84,7;1;,7;97,1;null;
2023-06-30;14;null;null;null;94,6;9,1;25;244,9;985,5;27,4;23,4;19,6;91;1;,6;97;null;
2023-07-31;14;null;null;null;133,9;8,1;21;100,8;986,3;27,3;23;18,4;89,7;1;,6;97;null;
2023-08-31;14;null;null;null;149,5;8;15;81,6;985,3;28;23,3;18,5;88,4;1;,6;97;null;
2023-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-10-31;14;null;null;null;213,3;6,4;6;18,2;983;32,2;25,6;19,6;77,8;1,5;,9;97;null;
2023-11-30;9;null;null;null;252,3;5,2;2;18,4;981,8;34,1;27,3;20,7;73,8;1,5;1,1;97;null;
2023-12-31;9;null;null;null;186,9;6,6;7;25;981,7;33,2;26,8;21,2;80,4;1,5;1,1;97;null;
2024-01-31;9;null;null;null;227,8;6;4;38;981,4;35;28,6;22,4;76,3;1,5;1;97;null;
2024-02-29;14;null;null;null;202,6;7,6;8;41;982;34,3;28,2;22,4;84;2,1;1;97;null;
2024-03-31;14;null;null;null;202,1;6,9;8;37,4;981,5;34,7;28,6;22,7;83,2;1,5;1;97;null;
2024-04-30;14;null;null;null;177,4;8,3;17;96;981,3;32,4;27,2;22,1;88,3;1;,7;97;null;
2024-05-31;14;null;null;null;119,6;8,9;21;241;982,9;29,3;25,1;21;91,6;1;,6;97;null;
2024-06-30;null;null;null;null;null;null;13;null;null;null;null;null;null;,5;null;null;null;

